Horizon,Input_Size,Train_Steps,Series_ID,Model,MAE,MSE
48,384,200,Combined,NHITS,371.0362481011285,232908.69449181648
48,384,200,Combined,NBEATS,328.7183837890625,191082.82518034015
48,384,200,Combined,TimesNet,337.32147725423175,184721.7761507854
48,384,200,BE,NHITS,552.1373850504557,435823.15216108906
48,384,200,BE,NBEATS,494.70359802246094,370555.24055058014
48,384,200,BE,TimesNet,389.4088999430339,249700.9201625958
48,384,200,PT,NHITS,299.9222666422526,143184.75423832363
48,384,200,PT,NBEATS,276.8499755859375,119787.19526129961
48,384,200,PT,TimesNet,360.3153330485026,178366.02634027848
48,384,200,RO,NHITS,261.04909261067706,119718.17707603674
48,384,200,RO,NBEATS,214.60157775878906,82906.0397291407
48,384,200,RO,TimesNet,262.2401987711589,126098.38194948186
48,384,300,Combined,NHITS,353.07762315538196,220929.18703344173
48,384,300,Combined,NBEATS,352.2123794555664,224872.28958194723
48,384,300,Combined,TimesNet,322.19354078504773,166203.90920196887
48,384,300,BE,NHITS,586.2067413330078,471823.28308051574
48,384,300,BE,NBEATS,576.1200663248698,472472.6691632022
48,384,300,BE,TimesNet,345.9867909749349,193612.22811625153
48,384,300,PT,NHITS,277.4572296142578,122663.31670023377
48,384,300,PT,NBEATS,264.5563023885091,116773.3639029966
48,384,300,PT,TimesNet,393.90195719401044,206949.67763773105
48,384,300,RO,NHITS,195.56889851888022,68300.96131957571
48,384,300,RO,NBEATS,215.9607696533203,85370.83567964286
48,384,300,RO,TimesNet,226.6918741861979,98049.82185192406
96,192,100,Combined,NHITS,376.2139443291558,248189.4168015145
96,192,100,Combined,NBEATS,405.9337378607856,284243.6980437829
96,192,100,Combined,TimesNet,337.19541210598413,192209.26540180098
96,192,100,BE,NHITS,461.3870900472005,382163.4494708702
96,192,100,BE,NBEATS,504.88382720947266,423679.5115786952
96,192,100,BE,TimesNet,361.50516510009766,235484.4679870891
96,192,100,PT,NHITS,295.02988688151044,147744.13852132918
96,192,100,PT,NBEATS,327.36513264973956,174002.9003026293
96,192,100,PT,TimesNet,321.44543329874676,166478.95051391577
96,192,100,RO,NHITS,372.22485605875653,214660.66241234416
96,192,100,RO,NBEATS,385.55225372314453,255048.68225002414
96,192,100,RO,TimesNet,328.6356379191081,174664.3777043981
96,192,200,Combined,NHITS,320.18323008219403,189074.89082484733
96,192,200,Combined,NBEATS,312.46459070841473,182101.5404024419
96,192,200,Combined,TimesNet,300.30678770277234,151160.02993329542
96,192,200,BE,NHITS,425.5141245524089,330785.5600543569
96,192,200,BE,NBEATS,433.6898498535156,340123.2194629361
96,192,200,BE,TimesNet,312.36716715494794,171569.90910278758
96,192,200,PT,NHITS,227.810666402181,90576.5732006294
96,192,200,PT,NBEATS,223.9045321146647,84469.60870271455
96,192,200,PT,TimesNet,282.063040415446,136096.0581710205
96,192,200,RO,NHITS,307.2248992919922,145862.53921955577
96,192,200,RO,NBEATS,279.7993901570638,121711.79304167505
96,192,200,RO,TimesNet,306.49015553792316,145814.12252607816
96,192,300,Combined,NHITS,288.7587276034885,148990.29692692155
96,192,300,Combined,NBEATS,321.31102032131616,188686.2904826979
96,192,300,Combined,TimesNet,316.25607130262586,160232.46923693104
96,192,300,BE,NHITS,357.56313069661456,235171.83364036432
96,192,300,BE,NBEATS,430.50815836588544,331232.88471980393
96,192,300,BE,TimesNet,281.4236348470052,131884.03455114117
96,192,300,PT,NHITS,231.75231806437174,92226.33614573162
96,192,300,PT,NBEATS,249.14760208129883,101456.2754652702
96,192,300,PT,TimesNet,317.2881851196289,167816.3470497442
96,192,300,RO,NHITS,276.9607340494792,119572.7209946687
96,192,300,RO,NBEATS,284.27730051676434,133369.7112630196
96,192,300,RO,TimesNet,350.05639394124347,180997.02610990778
96,384,100,Combined,NHITS,408.22889455159503,281417.06329561834
96,384,100,Combined,NBEATS,454.543640560574,340900.304823099
96,384,100,Combined,TimesNet,354.1912155151367,209499.183260702
96,384,100,BE,NHITS,460.9956563313802,363285.73046414304
96,384,100,BE,NBEATS,537.4917119344076,444388.6834214243
96,384,100,BE,TimesNet,351.25103251139325,221924.31496645013
96,384,100,PT,NHITS,377.75017801920575,227778.27102555148
